DATE,Open,High,Low,Close,Volume,Adj_Close
1/2/2014,37.349998,37.400002,37.099998,37.16,30632200,33.365383
1/3/2014,37.200001,37.220001,36.599998,36.91,31134800,33.140915
1/6/2014,36.849998,36.889999,36.110001,36.130001,43603700,32.440559
1/7/2014,36.330002,36.490002,36.209999,36.41,35802800,32.691963
1/8/2014,36,36.139999,35.580002,35.759998,59971700,32.10833
1/9/2014,35.880001,35.91,35.400002,35.529999,36516300,31.901831
1/10/2014,35.900002,36.150002,35.75,36.040001,40548800,32.359753
1/13/2014,35.990002,36.02,34.830002,34.98,45901900,31.407995
1/14/2014,34.73,35.880001,34.630001,35.779999,41623300,32.126297
1/15/2014,35.900002,36.790001,35.849998,36.759998,44812600,33.006222
1/16/2014,36.689999,37,36.310001,36.889999,38018700,33.122955
1/17/2014,36.830002,36.830002,36.150002,36.380001,46267500,32.665031
1/21/2014,36.82,36.82,36.060001,36.169998,31567300,32.476471
1/22/2014,36.259998,36.32,35.75,35.93,21904300,32.260983
1/23/2014,36.09,36.130001,35.52,36.060001,43954000,32.377716
1/24/2014,37.450001,37.549999,36.529999,36.810001,76395500,33.051125
1/27/2014,36.869999,36.889999,35.98,36.029999,44420800,32.350777
1/28/2014,36.119999,36.389999,35.75,36.27,36205500,32.566265
1/29/2014,35.98,36.880001,35.900002,36.66,52745900,32.916435
1/30/2014,36.790001,36.880001,36.23,36.860001,35036300,33.09602
1/31/2014,36.950001,37.889999,36.560001,37.84,93162300,33.975948
2/3/2014,37.740002,37.990002,36.43,36.48,64063100,32.754818
2/4/2014,36.970001,37.189999,36.25,36.349998,54697900,32.638092
2/5/2014,36.290001,36.470001,35.799999,35.82,55814400,32.162212
2/6/2014,35.799999,36.25,35.689999,36.18,35351800,32.485458
2/7/2014,36.32,36.59,36.009998,36.560001,33260500,32.826653
2/10/2014,36.630001,36.799999,36.290001,36.799999,26767000,33.042141
2/11/2014,36.880001,37.259998,36.860001,37.169998,32141400,33.374359
2/12/2014,37.349998,37.599998,37.299999,37.470001,27051800,33.64373
2/13/2014,37.330002,37.860001,37.330002,37.610001,37635500,33.769428
2/14/2014,37.389999,37.779999,37.330002,37.619999,31407500,33.778404
2/18/2014,37.630001,37.779999,37.41,37.419998,32834000,33.850773
2/19/2014,37.220001,37.75,37.209999,37.509998,29750400,33.932194
